,"5th Yr Seniors, Female","5th Yr Seniors, Female: Graduated","5th Yr Seniors, Female: Left Institution","5th Yr Seniors, Male","5th Yr Seniors, Male: Graduated","5th Yr Seniors, Male: Left Institution","Freshmen, Female","Freshmen, Female: Graduated","Freshmen, Female: Left Institution","Freshmen, Male","Freshmen, Male: Graduated","Freshmen, Male: Left Institution","Juniors, Female","Juniors, Female: Graduated","Juniors, Female: Left Institution","Juniors, Male","Juniors, Male: Graduated","Juniors, Male: Left Institution",School Year,"Seniors, Female","Seniors, Female: Graduated","Seniors, Female: Left Institution","Seniors, Male","Seniors, Male: Graduated","Seniors, Male: Left Institution","Sophomores, Female","Sophomores, Female: Graduated","Sophomores, Female: Left Institution","Sophomores, Male","Sophomores, Male: Graduated","Sophomores, Male: Left Institution","Total, 5th Yr Seniors","Total, 5th Yr Seniors: Graduated","Total, 5th Yr Seniors: Left Institution","Total, Female","Total, Female: Graduated","Total, Female: Left Institution","Total, Freshmen","Total, Freshmen: Graduated","Total, Freshmen: Left Institution","Total, Juniors","Total, Juniors: Graduated","Total, Juniors: Left Institution","Total, Male","Total, Male: Graduated","Total, Male: Left Institution","Total, Seniors","Total, Seniors: Graduated","Total, Seniors: Left Institution","Total, Sophomores","Total, Sophomores: Graduated","Total, Sophomores: Left Institution",When do students typically declare their major?
0,3.0,1.0,0.0,10.0,1.0,0.0,21.0,0.0,0.0,186.0,0.0,0.0,9.0,0.0,0.0,100.0,1.0,0.0,2008-2009,20.0,4.0,0.0,104.0,8.0,0.0,15.0,0.0,0.0,113.0,0.0,0.0,13.0,2.0,0.0,68.0,0.0,0.0,207.0,0.0,0.0,109.0,1.0,0.0,513.0,10.0,0.0,124.0,12.0,0.0,128.0,0.0,0.0,End of 2nd Year
1,2.0,0.0,0.0,4.0,0.0,0.0,46.0,0.0,0.0,200.0,0.0,0.0,119.0,0.0,0.0,496.0,0.0,0.0,2014-2015,146.0,76.0,0.0,694.0,254.0,0.0,44.0,0.0,0.0,177.0,0.0,0.0,6.0,0.0,0.0,357.0,0.0,0.0,246.0,0.0,0.0,615.0,0.0,0.0,1571.0,254.0,0.0,840.0,330.0,0.0,221.0,0.0,0.0,End of 2nd Year
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,46.0,1.0,2.0,2007-2008,8.0,1.0,4.0,47.0,13.0,10.0,4.0,0.0,0.0,29.0,0.0,7.0,0.0,0.0,0.0,18.0,5.0,5.0,0.0,0.0,0.0,52.0,1.0,3.0,122.0,14.0,19.0,55.0,14.0,14.0,33.0,0.0,7.0,End of 2nd Year
3,8.0,4.0,0.0,25.0,10.0,0.0,25.0,0.0,0.0,182.0,0.0,0.0,14.0,0.0,0.0,134.0,0.0,0.0,2009-2010,21.0,2.0,0.0,124.0,2.0,1.0,22.0,0.0,0.0,153.0,0.0,0.0,33.0,14.0,0.0,90.0,0.0,0.0,207.0,0.0,0.0,148.0,0.0,0.0,618.0,12.0,1.0,145.0,4.0,1.0,175.0,0.0,0.0,End of 2nd Year
4,0.0,0.0,0.0,6.0,0.0,0.0,30.0,0.0,0.0,255.0,0.0,1.0,49.0,1.0,1.0,350.0,6.0,6.0,2011-2012,82.0,42.0,1.0,570.0,250.0,25.0,42.0,0.0,0.0,227.0,0.0,5.0,6.0,0.0,0.0,203.0,2.0,2.0,285.0,0.0,1.0,399.0,7.0,7.0,1408.0,256.0,37.0,652.0,292.0,26.0,269.0,0.0,5.0,End of 2nd Year
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,48.0,6.0,11.0,2004-2005,12.0,6.0,3.0,66.0,35.0,20.0,1.0,0.0,1.0,19.0,0.0,4.0,0.0,0.0,0.0,24.0,7.0,7.0,0.0,0.0,0.0,59.0,8.0,14.0,133.0,41.0,35.0,78.0,41.0,23.0,20.0,0.0,5.0,End of 2nd Year
6,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,395.0,0.0,2.0,133.0,1.0,3.0,801.0,10.0,31.0,2013-2014,166.0,109.0,3.0,1163.0,612.0,45.0,95.0,0.0,3.0,458.0,2.0,11.0,0.0,0.0,0.0,460.0,9.0,9.0,461.0,0.0,2.0,934.0,11.0,34.0,2817.0,624.0,89.0,1329.0,721.0,48.0,553.0,2.0,14.0,End of 2nd Year
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,49.0,6.0,7.0,2005-2006,9.0,6.0,2.0,42.0,22.0,8.0,4.0,0.0,2.0,28.0,0.0,6.0,0.0,0.0,0.0,20.0,6.0,6.0,0.0,0.0,0.0,56.0,6.0,9.0,119.0,28.0,21.0,51.0,28.0,10.0,32.0,0.0,8.0,End of 2nd Year
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,1.0,14.0,2006-2007,7.0,2.0,3.0,54.0,20.0,20.0,3.0,0.0,1.0,22.0,0.0,6.0,0.0,0.0,0.0,15.0,4.0,4.0,0.0,0.0,0.0,55.0,1.0,14.0,126.0,21.0,40.0,61.0,22.0,23.0,25.0,0.0,7.0,End of 2nd Year
9,1.0,0.0,0.0,11.0,0.0,0.0,21.0,0.0,0.0,184.0,0.0,0.0,33.0,0.0,0.0,246.0,1.0,3.0,2010-2011,53.0,28.0,0.0,456.0,229.0,22.0,25.0,0.0,0.0,165.0,0.0,4.0,12.0,0.0,0.0,133.0,0.0,0.0,205.0,0.0,0.0,279.0,1.0,3.0,1062.0,230.0,29.0,509.0,257.0,22.0,190.0,0.0,4.0,End of 2nd Year
10,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,123.0,0.0,0.0,450.0,0.0,3.0,2015-2016,220.0,33.0,0.0,873.0,91.0,8.0,13.0,0.0,0.0,104.0,0.0,0.0,2.0,2.0,0.0,356.0,0.0,0.0,9.0,0.0,0.0,573.0,0.0,3.0,1438.0,93.0,11.0,1093.0,124.0,8.0,117.0,0.0,0.0,End of 2nd Year
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,163.0,0.0,0.0,163.0,0.0,0.0,2016-2017,251.0,0.0,0.0,652.0,0.0,0.0,6.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,2.0,0.0,0.0,326.0,0.0,0.0,841.0,0.0,0.0,903.0,0.0,0.0,30.0,0.0,0.0,End of 2nd Year
12,2.0,0.0,0.0,3.0,0.0,0.0,54.0,0.0,0.0,340.0,0.0,1.0,65.0,0.0,1.0,402.0,4.0,7.0,2012-2013,99.0,63.0,1.0,696.0,326.0,23.0,50.0,0.0,1.0,256.0,0.0,3.0,5.0,0.0,0.0,270.0,3.0,3.0,394.0,0.0,1.0,467.0,4.0,8.0,1697.0,330.0,34.0,795.0,389.0,24.0,306.0,0.0,4.0,End of 2nd Year
